Window_Pair;Enhancer_CTCF;RNAPII-S2p_CTCF;RNAPII-S7p_RNAPII-S2p;RNAPII-S2p_RNAPII-S2p;Tcf3_EP300;H3K9me3_H3K9me3;ZC3H11A_CTCF;EP300_NANOG;Enhancer_MAFK;RNAPII-S7p_Enhancer;Tcf3_Enhancer;RNAPII-S5p_RNAPII-S2p;Tcf3_RNAPII-S2p;RNAPII-S2p_Oct4;HCFC1_NANOG;RNAPII-S2p_NANOG;Tcf3_CTCF;RNAPII-S5p_Enhancer;Tcf3_MAFK;EP300_ZNF384;RNAPII-S2p_Enhancer;Tcf3_NANOG;Enhancer_NANOG;H3K9me3_Enhancer
chr5:127640000-127680000&chr5:125520000-125560000;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0
chr6:146440000-146480000&chr6:143120000-143160000;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
chr10:66280000-66320000&chr10:62400000-62440000;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1
chr2:167680000-167720000&chr2:166760000-166800000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr2:127160000-127200000&chr2:125800000-125840000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
chr12:77760000-77800000&chr12:74000000-74040000;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0
chr11:69040000-69080000&chr11:66920000-66960000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr9:117360000-117400000&chr9:114400000-114440000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr6:146040000-146080000&chr6:142720000-142760000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr5:75960000-76000000&chr5:72240000-72280000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr1:25040000-25080000&chr1:21080000-21120000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr2:123600000-123640000&chr2:123200000-123240000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr10:59640000-59680000&chr10:57840000-57880000;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
chr10:70680000-70720000&chr10:69280000-69320000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr9:89320000-89360000&chr9:88720000-88760000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr4:57760000-57800000&chr4:57520000-57560000;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0
chr7:112280000-112320000&chr7:110040000-110080000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:139280000-139320000&chr1:135760000-135800000;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
chr13:39480000-39520000&chr13:36400000-36440000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr11:82720000-82760000&chr11:80600000-80640000;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1
chr12:12200000-12240000&chr12:8360000-8400000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr19:57400000-57440000&chr19:54680000-54720000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
chr14:13000000-13040000&chr14:11360000-11400000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
chr9:12000000-12040000&chr9:8600000-8640000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr15:37440000-37480000&chr15:36560000-36600000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:13720000-13760000&chr1:10080000-10120000;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
